current ,temperature,vibration
1.944,26.94,2.9001
1.9536,26.94,3.415
1.9799,26.94,3.0234
1.969,26.94,2.9447
1.9608,27,3.3089
1.9451,27.06,3.2803
1.9438,27.19,2.6235
1.9553,27.31,2.5766
1.9467,27.44,3.013
1.9395,27.62,2.3578
1.9555,27.81,3.0472
1.9577,28,2.594
1.9462,28.19,2.5778
1.9419,28.37,2.8836
1.9453,28.62,3.2456
1.9389,28.75,3.1406
1.9444,29,2.6305
1.9457,29.19,3.1255
1.9452,29.44,2.9606
1.9422,29.62,2.8909
1.9541,29.87,3.0729
1.9709,30,3.4036
1.9581,30.19,3.2093
1.9566,30.37,2.6021
1.9434,30.5,2.8449
1.9645,30.69,3.0928
1.9566,30.75,3.3613
1.9398,30.87,3.3726
1.9511,31,3.0977
1.9554,31.12,3.278
1.9478,31.25,2.8181
1.9537,31.37,2.772
1.9469,31.44,2.9991
1.9405,31.5,2.7609
1.9475,31.62,2.7062
1.9389,31.69,2.972
1.9371,31.75,2.8417
1.9293,31.87,3.0832
1.9336,32,2.7062
1.9287,32.06,2.9583
1.9301,32.19,2.8883
1.9344,32.25,2.8129
1.9369,32.31,3.341
1.9398,32.38,2.7522
1.168,32.44,3.0086
1.9348,32.5,3.4741
1.9336,32.56,2.752
1.943,32.63,3.1939
1.9481,32.63,2.7028
1.9299,32.75,2.7869
1.9475,32.75,2.928
1.9411,32.81,2.5924
1.9513,32.88,2.7201
1.9416,32.94,2.8671
1.9414,33.06,3.2369
1.95,33.06,2.9868
1.947,33.13,2.7242
1.9493,33.19,3.0184
1.9341,33.19,3.2937
1.943,33.25,3.3114
1.9373,33.31,3.3393
1.9366,33.31,3.1076
1.9397,33.38,3.196
1.9383,33.38,2.8178
1.9338,33.44,3.3125
1.9362,33.44,3.1732
1.9376,33.5,2.8878
1.9305,33.56,2.5972
1.9402,33.56,2.8964
1.9371,33.63,3.0304
1.9321,33.69,3.0884
1.9369,33.69,3.0776
1.938,33.75,3.2596
1.937,33.69,3.404
1.9331,33.69,3.0328
1.9323,33.63,2.5158
1.9282,33.63,3.2988
1.9331,33.63,2.8854
1.9361,33.69,3.2685
1.9416,33.75,3.7543
1.9376,33.75,2.7455
1.9378,33.75,3.2427
1.9422,33.75,2.4261
1.951,33.75,3.0022
1.9457,33.75,2.8413
1.9477,33.81,2.8843
1.9458,33.81,3.0355
1.9445,33.88,2.8836
1.9428,33.94,2.8404
1.9395,34,3.002
1.9443,34,3.397
1.9428,34.06,3.2274
1.9411,34.06,3.3332
1.9337,34.06,2.8675
1.9356,34.06,2.7856
1.9412,34.06,3.155
1.937,34.13,3.0243
1.9332,34.13,2.5836
1.9323,34.13,3.1428
1.9328,34.19,2.6649
1.9343,34.19,3.2729
1.9277,34.19,2.9183
1.9288,34.19,2.9201
1.9276,34.25,2.8537
1.9282,34.31,3.3932
1.9278,34.31,2.7269
1.9264,34.31,2.6404
1.9205,34.38,2.6049
1.9293,34.38,3.0796
1.931,34.44,2.5814
1.9337,34.44,3.3673
1.9286,34.44,3.0452
1.9184,34.44,2.6969
1.9175,34.44,2.8384
1.9546,34.44,3.225
1.9383,34.5,2.7574
1.9268,34.5,2.403
1.927,34.5,3.0234
1.924,34.5,3.2378
1.9452,34.5,3.1281
1.9293,34.5,3.144
1.9355,34.5,2.6561
1.9206,34.5,2.6213
1.9298,34.44,3.2296
1.9257,34.5,2.9545
1.9209,34.5,3.0254
1.9317,34.5,2.754
1.9336,34.44,2.3956
1.9274,34.44,2.5989
1.9451,34.38,3.2367
1.9307,34.38,3.3485
1.9333,34.38,2.9255
1.9287,34.38,3.0124
1.9383,34.38,3.3887
1.9301,34.31,3.231
1.9335,34.38,2.8809
1.9435,34.38,2.4735
1.9537,34.31,3.1174
1.9566,34.38,2.6043
1.9347,34.38,2.877
1.939,34.38,3.2363
1.9445,34.38,2.9374
1.9416,34.44,3.2087
1.9455,34.5,2.8599
1.9495,34.44,3.2183
1.95,34.44,2.9218
1.9479,34.44,2.5802
1.951,34.5,3.0259
1.9532,34.56,2.5541
1.9495,34.63,2.7196
1.9531,34.63,2.8919
1.946,34.69,2.3785
1.9558,34.69,2.903
1.953,34.69,3.0512
